VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
event108;clic sur incitation MAJ de l'application;Authentification - Nombre de clics sur l'incitation a la MAJ de l'appli (event108);event.event_name;
event147;Nombre de changement de mot de passe (event147);Authentification - Nombre de changements de mot de passe (event147);event.event_name;
event148;Nombre d'identifiants oubliés (event148);Authentification - Nombre d'identifiants oubliés (event148);event.event_name;
event184;Activation solde rapide;Solde rapide - Activation solde rapide (event184);event.event_name;
event185;Affichage du solde rapide;Solde rapide - Affichage du solde rapide (event185);event.event_name;
event273;Authentification AISP réussie (event273);Authentification - Authentification AISP réussie (event273);event.event_name;
evar138;Provenance parcours nouveau MDP (evar138);Authentification - Provenance parcours nouveau MDP (evar138);custom.parcoursMdp;
event306;demande de réinitialiosation mdp (event306);Authentification - Demande de réinitialiosation mdp (event306);event.event_name;
evar54;Nom du partenaire (evar54);BPCE Connect - Nom du partenaire (evar54);custom.nomDuPartenaire;
event283;Acceptation de partager ses données au partenaire BPCE connect (event283);BPCE Connect - Acceptation de partager ses données au partenaire BPCE connect (event283);event.event_name;
event286;Suppression du consentement BPCE connect (event286);BPCE Connect - Suppression du consentement BPCE connect (event286);event.event_name;
event369;Sécurisation de l'appel conseillé (event369);Authentification - Sécurisation de l'appel conseillé (event369);;
evar142;motif non eligibilite securpass;Securpass - motif non eligibilite securpass;custom.motifNonEligibilite;
evar31;Statut equipement securpass;Securpass - Statut equipement securpass;custom.statutequipementsecurpass;
evar89;Fonctionnalité (evar89);Securpass - Fonctionnalité (evar89);custom.fonctionnalite;
evar91;Type usage securpass (evar91);Securpass - Type usage securpass (evar91);custom.type;
evar92;Contexte usage securpass (evar92);Securpass - Contexte usage securpass (evar92);custom.contexte;
event105;Nombre de désactivation de la biometrie;Securpass - Nombre de désactivation de la biometrie;event.event_name;
event64;Changement de methode d'authentification;Securpass - Changement de methode d'authentification;event.event_name;
event73;Nombre d'enrolements securpass sans delai;Securpass - Nombre d'enrolements securpass sans delai;event.event_name;
event74;Nombre d'enrolements securpass avec delai;Securpass - Nombre d'enrolements securpass avec delai;event.event_name;
event79;Nombre de compte non éligible à securpass;Securpass - Nombre de compte non éligible à securpass;event.event_name;
event81;Nombre d'activation des notifications securpass;Securpass - Nombre d'activation des notifications securpass;event.event_name;
event82;Nombre d'opérations à confirmer;Securpass - Nombre d'opérations à confirmer;event.event_name;
event83;Nombre d'opérations confirmées;Securpass - Nombre d'opérations confirmées;event.event_name;
event84;Nombre d'opérations refusées;Securpass - Nombre d'opérations refusées;event.event_name;
event85;Nombre de code securpass modifiés;Securpass - Nombre de code securpass modifiés;event.event_name;
event86;Nombre de securpass supprimés;Securpass - Nombre de securpass supprimés;event.event_name;
event87;Nombre d'opérations suspectes;Securpass - Nombre d'opérations suspectes;event.event_name;
evar125;type de paiement ecarte (evar125);PLC - type de paiement ecarte (evar125);custom.typePaiementEcarte;
evar157;Code de l'augmentation du plafond de carte (evar157);PLC - Code de l'augmentation du plafond de carte (evar157);datalayer.custom.agregationAugmentationPlafond;
evar189;Fonctionnalité en echec d'activation PLC (evar189);PLC - Fonctionnalité en echec d'activation PLC (evar189);custom.actionFonctionnalitePlc;
evar19;Type augmentation plafond carte (evar19);PLC - Type augmentation plafond carte (evar19);custom.typeAugmentationPlafond;
evar32;Nombre de cartes actives differentes (evar32);PLC - Nombre de cartes actives differentes (evar32);custom.NombreCartesActives;
evar33;Nombre de cartes opposées différentes (evar33);PLC - Nombre de cartes opposées différentes (evar33);custom.NombreCartesOpposees;
evar34;Nombre de cartes commandées ou expédiées (evar34);PLC - Nombre de cartes commandées ou expédiées (evar34);custom.NombreCartesCommandees;
evar39;Circonstance de la contestation d'opération carte (evar39);PLC - Circonstance de la contestation d'opération carte (evar39);custom.circonstancecontestation;
evar74;"Motif d'opposition d""une carte (evar74)";"PLC - Motif d'opposition d""une carte (evar74)";custom.typeOpposition;
event111;Visiualisation PIN digital;PLC - Visiualisation PIN digital (event111);event.event_name;
event123;Mise en opposition;PLC - Mise en opposition (event123);event.event_name;
event179;Confirmation de limitation de la carte;PLC - Confirmation de limitation de la carte (event179);event.event_name;
event180;Succès demande activation carte digitale;PLC - Succès demande activation carte digitale (event180);event.event_name;
event192;Activation verouillage temporaire;PLC - Activation verouillage temporaire (event192);event.event_name;
event193;activation paiements a distance;PLC - activation paiements a distance (event193);event.event_name;
event194;Activation des paiements et retraits à l'étranger (event194);PLC - Activation des paiements et retraits à l'étranger (event194);event.event_name;
event195;Désactivation verouillage temporaire;PLC - Désactivation verouillage temporaire (event195);event.event_name;
event196;Désactivation paiements a distance;PLC - Désactivation paiements a distance (event196);event.event_name;
event197;Désactivation paiement et retraits a l'etranger;PLC - Désactivation paiement et retraits a l'etranger (event197);event.event_name;
event198;Validation de contestation d'opération;PLC - Validation de contestation d'opération (event198);event.event_name;
event199;Dépôt justificatif contestation opération;PLC - Dépôt justificatif contestation opération (event199);event.event_name;
event200;Recommande carte;PLC - Recommande carte (event200);event.event_name;
event201;Reactivation carte limitee;PLC - Reactivation carte limitee (event201);event.event_name;
event207;activation blocage retraits mineur;PLC - activation blocage retraits mineur (event207);event.event_name;
event208;Désactivation blocage retraits mineur;PLC - Désactivation blocage retraits mineur (event208);event.event_name;
event209;Affichage code PIN de la cb;PLC - Affichage code PIN de la cb (event209);event.event_name;
event212;Activation suivie du solde de votre enfant;PLC - Activation suivie du solde de votre enfant (event212);event.event_name;
event221;Ajout carte wallet;PLC - Ajout carte wallet (event221);event.event_name;
event244;Souscription au service ecarte;PLC - Souscription au service ecarte (event244);event.event_name;
event245;Resiliation du service ecarte;PLC - Resiliation du service ecarte (event245);event.event_name;
event246;creation d'une ecarte;PLC - creation d'une ecarte (event246);event.event_name;
event247;suppression d'une ecarte;PLC - suppression d'une ecarte (event247);event.event_name;
event4;Augmentation plafond;PLC - Augmentation plafond (event4);event.event_name;
evar128;Statut du prélevement;Statut du prélevement (evar128);custom.statutOperation;
event310;Demande de contestation prelevement réussie (event310);Prelevement - Demande de contestation prelevement réussie (event310);event.event_name;
event65;Operations rejetees;Prelevement - Operations rejetees (event65);event.event_name;
event69;Nombre operation avec validation requise;Prelevement - Nombre operation avec validation requise (event69);event.event_name;
event75;Validation mandat;Prelevement - Validation mandat (event75);event.event_name;
event89;Nouvelle operation disponible;Prelevement - Nouvelle operation disponible (event89);event.event_name;
evar195;Détail commande chequier (evar195);Chèques - Détail commande chequier (evar195);custom.typechequiercommande;
event186;Nombre de commande de chéquiers (event186);Chèques - Nombre de commande de chéquiers (event186);event.event_name;
event370;Retrait SMS : Enrolement OK (event370);Retrait SMS - Retrait SMS : Enrolement OK (event370);event.event_name;
event371;Retrait SMS : Annulation d'un jeton (event371);Retrait SMS - Retrait SMS : Annulation d'un jeton (event371);event.event_name;
event372;Retrait SMS : Résiliation OK (event372);Retrait SMS - Retrait SMS : Résiliation OK (event372);event.event_name;
event217;Nombre de retrait sms (event217);Retrait SMS : jeton de retrait crée (event217);event.event_name;
