VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
event334;Vote négatif (event334);Vote négatif (event334);event.event_name;
prop67;Thematique FAQ (prop67);FAQ - Thématique (prop67);custom.thematiqueFaq;
prop68;Sous thematique FAQ (prop68);FAQ - Sous-thématique (prop68);custom.sousThematiqueFaq;
evar133;Nom du template CMS;Portail - Nom du template CMS (evar133);pagesdisplay;il faut ranger les variables selon le sens logique métier pas selon la typo technique
evar134;template bloc CMS;Portail - Nom du template de bloc cliqué (evar134);;
evar135;Clic portail (evar135);Portail - Dernier clic portail (evar135);custom.typedesuccesportail;
custom.typedesuccesportail.libellle-clic-du-dernier-clic-;Libellle clic du dernier clic portail (evar135);Portail - Libellle clic du dernier clic portail (evar135);;
custom.typedesuccesportail.nom-de-la-page-dernier-clic-po;Nom de la page dernier clic portail (evar135);Portail - Nom de la page dernier clic portail (evar135);;
evar136;Derniere page vue du portail;Portail - Dernière page vue du portail (evar136);viewView;
evar141;gamme et code produit du portail;Portail - Gamme et code produit du portail (evar141);;
custom.nom-de-la-gamme-produit-portai;Nom de la gamme produit portail (evar141) ;Portail - Nom de la gamme produit portail (evar141) ;;
custom.nom-du-produit-portail-evar141;Nom du produit portail (evar141);Portail - Nom du produit portail (evar141);;
evar185;Display de la page;Portail - Display de la page (evar185);ProduitProduit;
evar188;Categorie de clics;Portail - Catégorie de clics (evar188);produits.gamme;
evar197;Type de succes Portail;Portail - Type de décrochages portail (evar197);produits.code;
event109;product view portail;Portail - Vue du produit sur le portail (event109);event.event_name;
event22;succes decrochage genere par portail (event22);Portail - Succès du décrochage généré par le portail (event22) ;event.event_name;
event23;Consultation Produit (event23);Portail - Consultation du produit (event23) ;event.event_name;
prop60;Segment de marche;Portail - Segment marketing (prop60);;
prop61;Gamme de besoin;Portail - Gamme de besoin (prop61);;
prop71;Nom du template CMS;Portail - Nom du template CMS (prop71);;
prop72;template bloc CMS;Portail - Nom du template de bloc cliqué (prop72);;
evar16;Informations sur le parcours aiguilleur (evar16);Portail - Réponses parcours aiguilleur (evar16);custom.mobileServiceType;
event16;Ouverture modal choix region (event16);Choix région - Ouverture modale (event16);event.event_name;
event17;Clic sur trouver ma banque (event17);Choix région - Clic sur trouver ma banque (event17);event.event_name;
evar184;Méthode de gestion des droits utilisateurs (evar184);B2B - gestion de droits utilisateurs (evar184);;
event293;Sélection méthode de gestion des droits (event293);B2B - selection methode gestion des droits (event293);event.event_name;
event308;Décrochage changement de mot de passe B2B (event308);B2B - decrochage changement de mot de passe (event308);event.event_name;
event309;Décrochage modification droits signature B2B (event309);B2B - decrochage modification droits signature (event309);event.event_name;
event328;Modification de plafond (event328);B2B - modification de plafond (event328);event.event_name;
event344;Décrochage vers la suppression d'utilisateur (event344);B2B - decrochage suppression utilisateur (event344);event.event_name;
evar167;Type de demande CMLT;CMLT - type de demande (evar167);custom.categorieObjet;C'est de la souscription ?
evar25;Catégorie objet;CMLT - categorie objet (evar25);custom.statutDemande;
prop11;Statut demande (prop11);CMLT - statut demande (prop11);;
event190;Nombre objet de financement;CMLT - nombre objet de financement (event190);event.event_name;
event191;Sauvegarder la demande;CMLT - sauvegarder la demande (event191);event.event_name;
event298;Ajout objet demande CMLT (event298);CMLT - ajout objet demande (event298);event.event_name;
event313;Décrochage vers le site new B2B (event313);B2B - decrochage vers le site new B2B (event313);event.event_name;
event332;Décrochage vers le site legacy (event332);B2B - decrochage vers le site legacy (event332);event.event_name;
evar84;Numéro de SIREN(eVar84);Connaissance client numaric - numero SIREN (evar84);custom.NomDeCollectivite;
evar85;Nom de la Collectivité (eVar85);Connaissance client numaric - nom collectivite (evar85);custom.aggregationconfirmation;
evar82;Nom du Projet (evar 82);Numairic - Nom du Projet (evar 82);custom.NomDuProjet;
evar86;Durée du prêt (eVar86);Numairic - Durée du prêt (evar86);custom.DureeDuPret;
evar198;Type de budget;Numairic - Type de budget (evar198);custom.typeBudget;
evar199;Taux, Pret MLT;Numairic -Taux du pret mlt (evar199);custom.tauxPretRelais;
evar200;Taux Pret Relais;Numairic -Taux du prêt relais (evar200);custom.tauxPretMLT;
event174;Montant prêt MLT;Numairic - Montant pret mlt (event174);event.event_name;
event175;Montant prêt relai;Numairic - Montant pret relai (event175);event.event_name;
event176;Duree prêt MLT;Numairic  - Durée pret mlt (event176);event.event_name;
event177;Duree prêt relai;Numairic  - Durée pret relai (event177);event.event_name;
prop19;Agregation confirmation financement;Credit pro - confirmation financement (prop19);custom.aggregationPro;C'est de la souscription ?
evar10;Aggregation credit pro;Credit pro - enveloppe sante (evar10);;
custom.creditPro_categorie;categorie;Credit pro - catégorie (evar10);;
custom.creditPro_sousCategorie;sous categorie;Credit pro - sous catégorie (evar10);;
custom.creditPro_typeMateriel;type materiel;Credit pro - type de matériel (evar10);;
custom.creditPro_montant;montant;Credit pro - montant (evar10);;
custom.creditPro_etat;etat;Credit pro - etat (evar10);;
custom.creditPro_typeCredit;type credit;Credit pro - type de credit (evar10) ;;
custom.creditPro_assuranceEmprunteur;assurance emprunteur;Credit pro - assurance emprunteur (evar10);;
custom.creditPro_assuranceCreditBail;assurance credit bail ;Credit pro - assurance credit bail (evar10) ;;
event265;Confirmation accès par utilisateur (event265);Digital box - confirmation acces utilisateur (event265);event.event_name;
event320;Sélection autre société (event320);Digital box - selection autre societe (event320);event.event_name;
event350;sélection autre établissement d'une société (event350);Digital box - selection autre etablissement de societe (event350);event.event_name;
event62;visualisation document (event62);digital box - visualisation document (event62);event.event_name;
event233;Clic demande de financement en cours (event233);Univers Financement - Clic demande de financement en cours (event233);event.event_name;
event234;Clic autopromotion besoin de financement (event234);Univers Financement - Clic autopromotion (event234);event.event_name;
event266;Activation du service mes documents électroniques (event266);MDE - activation service (event266);event.event_name;
event267;Désactivation du service mes documents électroniques (event267);MDE - desactivation service (event267);event.event_name;
evar48;Type document consulte (evar48);MDE - type document consulte (evar48);custom.periode;
evar41;periode appliquee;Encaissement - periode appliquee (evar41);activationService;
event307;Décrochage depuis le widget (event307);Encaissement - decrochage depuis le widget (event307);event.event_name;
evar176;Producteur;Nom du producteur (evar176);custom.producteur;
event141;Décrochages producteurs (event141);Décrochages producteurs (event141);event.event_name;
evar43;Contrôle temps réel (evar43);Collecte - Contrôle document : temps réel ou non (evar43);custom.controleTempsReel;
evar52;Contrôle de document (evar52);Collecte - Contrôle document : oui ou non (evar52);custom.controleDocument;
event314;Limite du nombre d'essais de collecte atteinte (event314);Collecte - Limite du nombre d'essais de collecte atteinte (event314);event.event_name;
event248;Collecte de document effectuée (event248);Collecte - Collecte de document effectuée (event248);event.event_name;
event167;Collecte de pièces effectuée;Collecte - Collecte de justificatif effectuée (event167);event.event_name;
event228;Décrochage controle identité (event228);Décrochage controle identité (event228);event.event_name;
event223;Contrôle d'identité réussi (event223);Contrôle d'identité réussi (event223);event.event_name;
evar56;Critère de recherche (evar56);Store Locator - Critère de recherche (evar56);custom.critereRecherche;
evar7;Mot-clé recherché (evar7);Moteur de recherche - Mot-clé recherché (evar7);search.keyword;
event11;Evenement Recherche (event11);Moteur de recherche - Recherche effectuée (event11);event.event_name;
event48;Résultat de recherche nul;Résultat de recherche nul (event48);event.event_name;
evar55;Agrégation crédit renouvelable (evar55);Crédit renouvelable - Agrégation crédit renouvelable (evar55);;C'est de la souscription ?
event238;Débranchage partenaire cozynergy (event238);Coach Green - Décrochage Cozynergy (event238);event.event_name;
event270;Débranchage partenaire izi (event270);Coach Green - Décrochage izi by EDF (event270);event.event_name;
event280;Simulation empreinte carbone (event280);Coach green - Simulation enmprunte carbone (event280);event.event_name;
event325;Débranchage NamR (event325);Coach green - Décrochage NamR (event 325);event.event_name;
event281;Confirmation aug cma (event281);Crédit Renouvelable - Confirmation de l'augmentation du crédit maximum autorisé (event281);event.event_name;
event312;Confirmation remboursement anticipe (event312);Crédit Renouvelable - Confirmation remboursement anticipé (event312);event.event_name;
event337;Utilisation crédit renouvelable (event337);Crédit Renouvelable - Utilisation crédit renouvelable (event337);event.event_name;
event338;Mensualité modifiée (event338);Crédit Renouvelable - Mensualité modifiée (event338);event.event_name;
event339;Faire une pause (event339);Crédit Renouvelable - Faire une pause (event339);event.event_name;
event232;Confirmation utilisation credit (event232);Crédit Renouvelable - Confirmation utilisation crédit (event232);event.event_name;
event146;Nombre d'annulation de RDV en ligne;Prise de rdv - Nombre d'annulation de RDV en ligne (event146);event.event_name;
event25;Prise RDV conseiller (event25);Prise de rdv - RDV conseiller pris (event25);event.event_name;
evar131;Prise de rdv - informations;Prise de rdv - informations & motif (evar131);custom.infosRdv;
custom.infosRdv.format-rdv-evar131;Format RDV (evar131) ;Prise de rdv - format (evar131);;
custom.infosRdv.heure-du-rdv-evar131;heure du RDV (evar131);Prise de rdv - heure (evar131);;
custom.infosRdv.jour-rdv-evar131;jour RDV (evar131) ;Prise de rdv - jour (evar131);;
custom.infosRdv.motif-rdv-evar131;Motif RDV (evar131);Prise de rdv - Motif (evar131);;
event112;Message envoyé;MSI - Message envoyé (event112);event.event_name;
event178;Confirmation de déclaration de bug (event178);Report bug - Confirmation de déclaration de bug (event178);event.event_name;
event327;Décrochage zendesk report bug (event327);Report bug - Décrochage zendesk report bug (event327);event.event_name;
evar194;Catégorie de bug;Report Bug - Catégorie de bug (evar194);custom.categorieBug;
event219;Demande de resiliation confirmee;Résiliation - Demande de résiliation confirmée (event219);event.event_name;
event296;Appel agence (event296);Appel agence (event296);event.event_name;
event297;Appel OPTIMAL (event297);Appel OPTIMAL (event297);event.event_name;
evar126;Formulaire de contact - informations;Formulaire de contact - Agrégation (evar126);custom.infosContact;
custom.infosContact.marche-du-contact-evar126;Marché du contact (evar126);Formulaire de contact - Marche du contact (evar126);;
custom.infosContact.mode-de-contact-evar126;Mode de contact (evar126);Formulaire de contact - Mode de contact (evar126);;
custom.infosContact.motif-de-contact-evar126;Motif de contact (evar126);Formulaire de contact - Motif de contact (evar126);;
event347;Acceptation paiement (event347);EAP - Acceptation paiement (event347);event.event_name;
event348;Refus paiement (event348);EAP - Refus paiement (event348);event.event_name;
event349;Refus partiel paiement (event349);EAP - Refus partiel paiement (event349);event.event_name;
event321;Suppression demande e-dailly;e_dailly - suppression demande (event321);event.event_name;
evar153;e-dailly - caracteristiques demande;e-dailly - caracteristiques demande (evar153);;C'est de la souscription ?
event322;Duplication demande e-dailly;e-dailly - duplication demande (event322);event.event_name;
event323;Modification demande e-dailly;e-dailly - modification demande (event323);event.event_name;
event335;;e-dailly - duplication cree (event 335);event.event_name;
event346;Affichage message erreur e-dailly (event346);e-dailly - affichage message erreur (event346);event.event_name;
event90;e-dailly - marche completion initie;e-dailly - completion marche initie (event90);event.event_name;
event91;e-dailly - montant total marche;e-dailly - montant total marche (event91);event.event_name;
event92;e-dailly - montant total marche cede;e-dailly - montant total marche cede (event92);event.event_name;
event93;e-dailly - completion du marche;e-dailly - completion du marche (event93);event.event_name;
event95;e-dailly - nombre de créances initiees;e-dailly - nombre de creances initiees (event95);event.event_name;
event96;e-dailly - creance montant;e-dailly - creance montant (event96) ;event.event_name;
event98;e-dailly - nombre de creances finalisees;e-daily - nombre de creances finalisees (event98) ;event.event_name;
prop44;Espace application mineur (prop44);;custom.espaceApplicationMineur;
event355;Clic lancement vidéo pédagogique (event355);Vidéos Pédagogiques - Lancement video pedagogique (event355);event.event_name;
event356;Visualisation vidéo pédagogique non en entier (event356);Vidéos Pédagogiques- Non completion video pedagogique (event356);event.event_name;
event357;Visualisation vidéo pédagogique en entier (event357);Vidéos Pédagogiques - Completion video pedagogique (event357);event.event_name;
event239;Création d'un dossier (event239);coffre fort numerique - creation dossier (event329);event.event_name;
event353;Activation ou désactivation virement (event353);Controle parental  - Activation ou desactivation virement (event353);event.event_name;
event15;Confirmation prise de contact (event15);;event.event_name;souscription
event14;Activation enveloppe (event14);credit pro - activation enveloppe (event14);event.event_name;
event7;Nombre produits selectionnes (event7);solutions paiements - produits selectionnes (event7);event.event_name;
event97;Affichage produits detenus (event97);comptes - affichage produits detenus (event97);event.event_name;
event227;Décrochage vers un asset (event227);Décrochage vers un asset (event227);event.event_name;
event225;Fin parcours copro (event225);Financement Copro - Confirmation d'une demande de financement travaux (event225);event.event_name;
event224;Fin parcours syndic (event224);Financement Syndic - Confirmation demande de financement travaux (event224);event.event_name;
event226;Validation ajout lot syndic (event226);Financement Syndic - Création de lots (event226);event.event_name;
event70;Recherche store locator;Recherche dans le store locator (event70);event.event_name;
event202;Report d'échéance demandé;Report d'échéance demandé (event202);event.event_name;
event203;Date de prelevement modifiee;Date de prelevement modifiee (event203);event.event_name;
event204;Impayé regularisé ;Impayé regularisé (event204);event.event_name;
event205;Fonds débloqués;Fonds débloqués (event204);event.event_name;
event206;Commencer le remboursement;Commencer le remboursement (event206);event.event_name;
event329;Page ou événement de contact existant (event329);Page ou événement de contact existant (event329);event.event_name;
event26;Demande rappel conseiller (event26);Demande de rappel par le conseiller (event26);event.event_name;
event35;appel conseiller (event35);Appel au conseiller (event35);event.event_name;
event37;envoi d'un email (event37);Envoi d'un email (event37);event.event_name;
event42;Chat conseiller (event42);Chat avec le conseiller (event42);event.event_name;
event68;web call back;Web call back (event68);event.event_name;
event5;Intention prise de rdv;Intention de prendre un rendez-vous (event5);event.event_name;
event63;Clic to call;Clic pour appeler (event63);event.event_name;
event9;Erreur Formulaire (event9);Erreur dans le formulaire (event9);event.event_name;
event288;Aucun créneau sous 25 jours;Aucun créneau sous 25 jours (event288);event.event_name;
evar165;Type action selfcare;Type d'acte de gestion selfcare (evar165);;
event66;Action de selfcare (event66);Acte de gestion selfcare effectué (event66);event.event_name;pas toutes les pages
event324;Affichage de la popin Web Call Back (event324) (event324);Web call back - Affichage de la popin (event324);event.event_name;
event361;Validation de la demande côté CRC (event361);Web call back - Validation CRC (event361);event.event_name;
evar193;Formulaire ecommerce agregation (evar193);E-commerce - aggrégation formulaire (evar193);custom.formulairedecontact;
